code,presence,cross_industry_name,life_science_name,retail_name,level,name_match,category
1.1.2.1,CI LS RT,Conduct qualitative/quantitative research and assessments,Conduct qualitative/quantitative research and assessments,Conduct qualitative/quantitative research and assessments,4,ALL_IDENTICAL,UNIVERSAL
1.1.2.2,CI LS RT,Capture customer needs and wants,Capture customer needs and wants,Capture customer needs and wants,4,ALL_IDENTICAL,UNIVERSAL
1.1.2.3,CI LS RT,Assess customer needs and wants,Assess customer needs and wants,Assess customer needs and wants,4,ALL_IDENTICAL,UNIVERSAL
1.1.3,CI LS RT,Assess the internal environment,Assess the internal environment,Assess the internal environment,3,ALL_IDENTICAL,UNIVERSAL
1.1.3.1,CI LS RT,Analyze organizational characteristics,Analyze organizational characteristics,Analyze organizational characteristics,4,ALL_IDENTICAL,UNIVERSAL
1.1.3.2,CI LS RT,Analyze internal operations,Analyze internal operations,Analyze internal operations,4,ALL_IDENTICAL,UNIVERSAL
1.1.3.3,CI LS RT,Create baselines for current processes,Create baselines for current processes,Create baselines for current processes,4,ALL_IDENTICAL,UNIVERSAL
1.1.3.4,CI LS RT,Analyze systems and technology,Analyze systems and technology,Analyze systems and technology,4,ALL_IDENTICAL,UNIVERSAL
1.1.3.5,CI LS RT,Analyze financial health,Analyze financial health,Analyze financial health,4,ALL_IDENTICAL,UNIVERSAL
1.1.3.6,CI LS RT,Identify core competencies,Identify core competencies,Identify core competencies,4,ALL_IDENTICAL,UNIVERSAL
1.1.4,CI LS RT,Establish strategic vision,Establish strategic vision,Establish strategic vision,3,ALL_IDENTICAL,UNIVERSAL
1.1.4.1,CI LS RT,Define the strategic vision,Align stakeholders around strategic vision,Define the strategic vision,4,DIFFERENT,UNIVERSAL
1.1.4.2,CI LS RT,Align stakeholders around strategic vision,Define the strategic vision,Align stakeholders around strategic vision,4,DIFFERENT,UNIVERSAL
1.1.4.3,CI LS RT,Communicate strategic vision to stakeholders,Communicate strategic vision to stakeholders,Communicate strategic vision to stakeholders,4,ALL_IDENTICAL,UNIVERSAL
1.1.5,CI LS RT,Conduct organization restructuring opportunities,Conduct organization restructuring opportunities,Conduct organization restructuring opportunities,3,ALL_IDENTICAL,UNIVERSAL
1.1.5.1,CI LS RT,Identify restructuring opportunities,Identify restructuring opportunities,Identify restructuring opportunities,4,ALL_IDENTICAL,UNIVERSAL
1.1.5.2,CI LS RT,Perform due-diligence,Perform due-diligence,Perform due-diligence,4,ALL_IDENTICAL,UNIVERSAL
1.1.5.3,CI LS RT,Analyze deal options,Analyze deal options,Analyze deal options,4,ALL_IDENTICAL,UNIVERSAL
1.1.5.3.1,CI LS RT,Evaluate acquisition options,Evaluate acquisition options,Evaluate acquisition options,5,ALL_IDENTICAL,UNIVERSAL
1.1.5.3.2,CI LS RT,Evaluate merger options,Evaluate merger options,Evaluate merger options,5,ALL_IDENTICAL,UNIVERSAL
1.1.5.3.3,CI LS RT,Evaluate de-merger options,Evaluate de-merger options,Evaluate de-merger options,5,ALL_IDENTICAL,UNIVERSAL
1.1.5.3.4,CI LS RT,Evaluate divesture options,Evaluate divesture options,Evaluate divesture options,5,ALL_IDENTICAL,UNIVERSAL
1.2,CI LS RT,Develop business strategy,Develop business strategy,Develop business strategy,2,ALL_IDENTICAL,UNIVERSAL
1.2.1,CI LS RT,Develop overall mission statement,Develop overall mission statement,Develop overall mission statement,3,ALL_IDENTICAL,UNIVERSAL
1.2.1.1,CI LS RT,Define current business,Define current business,Define current business,4,ALL_IDENTICAL,UNIVERSAL
1.2.1.2,CI LS RT,Formulate mission,Formulate mission,Formulate mission,4,ALL_IDENTICAL,UNIVERSAL
1.2.1.3,CI LS RT,Communicate mission,Communicate mission,Communicate mission,4,ALL_IDENTICAL,UNIVERSAL
1.2.2,CI LS RT,Define and evaluate strategic options to achieve the mission,Define and evaluate strategic options to achieve the objectives,Define and evaluate strategic options to achieve the objectives,3,DIFFERENT,UNIVERSAL
1.2.2.1,CI LS RT,Define strategic options,Define strategic options,Define strategic options,4,ALL_IDENTICAL,UNIVERSAL
1.2.2.1.1,CI LS RT,Select partnerships and relationships to support the extended enterprise,Select partnerships and relationships to support the extended enterprise,Select partnerships and relationships to support the extended enterprise,5,ALL_IDENTICAL,UNIVERSAL
1.2.2.10,CI RT,Evaluate shared services options,,Develop shared services strategy,4,DIFFERENT,CI_RETAIL_ONLY
1.2.2.11,CI RT,Evaluate lean/continuous improvement options,,Develop lean/continuous improvement strategy,4,DIFFERENT,CI_RETAIL_ONLY
1.2.2.12,RT,,,Develop innovation strategy and framework,4,,RETAIL_SPECIFIC
1.2.2.2,CI LS RT,Assess and analyze impact of each option,Assess and analyze impact of each option,Assess and analyze impact of each option,4,ALL_IDENTICAL,UNIVERSAL
1.2.2.2.1,CI LS RT,Identify implications for key operating model business elements that require change,Identify implications for key operating model business elements that require change,Identify implications for key operating model business elements that require change,5,ALL_IDENTICAL,UNIVERSAL
1.2.2.2.2,CI LS RT,Identify implications for key technology aspects,Identify implications for key technology aspects,Identify implications for key technology aspects,5,ALL_IDENTICAL,UNIVERSAL
1.2.2.3,CI LS RT,Evaluate B2B options,Develop B2B strategy,Develop B2B strategy,4,DIFFERENT,UNIVERSAL
1.2.2.3.1,LS RT,,Develop service as a product strategy,Develop service as a product strategy,5,LS_RT_MATCH,LS_RETAIL_ONLY
1.2.2.4,CI LS RT,Evaluate B2C options,Develop B2C strategy,Develop B2C strategy,4,DIFFERENT,UNIVERSAL
1.2.2.5,CI LS RT,Evaluate partner/alliance options,Develop partner/alliance strategy,Develop partner/alliance strategy,4,DIFFERENT,UNIVERSAL
1.2.2.6,CI LS RT,Evaluate IP acquisition options,Develop merger/demerger/acquisition/exit strategy,Develop merger/demerger/acquisition/exit strategy,4,DIFFERENT,UNIVERSAL
1.2.2.7,CI LS RT,Evaluate innovation options,Develop innovation strategy,Develop innovation strategy,4,DIFFERENT,UNIVERSAL
1.2.2.8,CI LS RT,Evaluate sustainability options,Develop sustainability strategy,Develop sustainability strategy,4,DIFFERENT,UNIVERSAL
1.2.2.8.1,LS,,Develop global support strategy,,5,,LS_SPECIFIC
1.2.2.8.2,LS,,Develop shared services strategy,,5,,LS_SPECIFIC
1.2.2.9,CI LS RT,Evaluate global support options,Develop lean/continuous improvement strategy,Develop global support strategy,4,DIFFERENT,UNIVERSAL
1.2.2.9.1,LS,,Develop innovation strategy and framework,,5,,LS_SPECIFIC
1.2.3,CI LS RT,Set/Develop long-term enterprise strategy,Select long-term business strategy,Select long-term business strategy,3,DIFFERENT,UNIVERSAL
1.2.3.1,CI,Develop partner/alliance strategy,,,4,,CI_SPECIFIC
1.2.3.2,CI,Develop sustainability strategy,,,4,,CI_SPECIFIC
1.2.3.3,CI,Develop merger/demerger/acquisition/exit strategy,,,4,,CI_SPECIFIC
1.2.3.4,CI,Develop innovation strategy,,,4,,CI_SPECIFIC
1.2.3.5,CI,Develop global support strategy,,,4,,CI_SPECIFIC
1.2.3.6,CI,Develop shared services strategy,,,4,,CI_SPECIFIC
1.2.3.7,CI,Develop lean/continuous improvement strategy,,,4,,CI_SPECIFIC
1.2.4,CI LS RT,Coordinate and align cross-functional and process strategies,Coordinate and align functional and process strategies,Coordinate and align functional and process strategies,3,DIFFERENT,UNIVERSAL
1.2.5,CI LS RT,Create organizational design,Create organizational design,Create organizational design,3,ALL_IDENTICAL,UNIVERSAL
1.2.5.1,CI LS RT,Evaluate breadth and depth of organizational structure,Evaluate breadth and depth of organizational structure,Evaluate breadth and depth of organizational structure,4,ALL_IDENTICAL,UNIVERSAL
1.2.5.10,LS,,Present recommendations to senior client executives,,4,,LS_SPECIFIC
1.2.5.11,LS,,Adjust migration,,4,,LS_SPECIFIC
1.2.5.2,CI LS RT,Perform job-specific roles mapping and value-added analyses,Perform job-specific roles mapping and value-added analyses,Perform job-specific roles mapping and value-added analyses,4,ALL_IDENTICAL,UNIVERSAL
1.2.5.3,CI LS RT,Develop role activity diagrams to assess hand-off activity,Develop role activity diagrams to assess hand-off activity,Develop role activity diagrams to assess hand-off activity,4,ALL_IDENTICAL,UNIVERSAL
1.2.5.4,CI LS RT,Perform organization redesign workshops,Perform organization redesign workshops,Perform organization redesign workshops,4,ALL_IDENTICAL,UNIVERSAL
1.2.5.5,CI LS RT,Design the relationships between organizational units,Design the relationships between organizational units,Design the relationships between organizational units,4,ALL_IDENTICAL,UNIVERSAL
1.2.5.6,CI LS RT,Develop role analysis and activity diagrams for key processes,Develop role analysis and activity diagrams for key processes,Develop role analysis and activity diagrams for key processes,4,ALL_IDENTICAL,UNIVERSAL
1.2.5.7,CI LS RT,Assess organizational implication of feasible alternatives,Assess organizational implication of feasible alternatives,Assess organizational implication of feasible alternatives,4,ALL_IDENTICAL,UNIVERSAL
1.2.5.8,CI LS RT,Migrate to new organization,Migrate to new organization,Migrate to new organization,4,ALL_IDENTICAL,UNIVERSAL
1.2.5.9,LS,,Draft alternative structures,,4,,LS_SPECIFIC
1.2.6,CI LS RT,Develop and set organizational objectives,Develop and set organizational goals,Develop and set organizational goals,3,DIFFERENT,UNIVERSAL
1.2.6.1,CI LS RT,Identify organizational objectives,Identify organizational goals,Identify organizational goals,4,DIFFERENT,UNIVERSAL
1.2.6.2,CI LS RT,Establish baseline metrics,Establish baseline metrics,Establish baseline metrics,4,ALL_IDENTICAL,UNIVERSAL
1.2.6.3,CI LS RT,Monitor performance against objective,Monitor performance against goals,Monitor performance against goals,4,DIFFERENT,UNIVERSAL
1.2.7,CI LS RT,Formulate business unit strategies,Formulate business unit strategies,Formulate business unit strategies,3,ALL_IDENTICAL,UNIVERSAL
1.2.7.1,CI LS RT,Analyze business unit strategies,Analyze business unit strategies,Analyze business unit strategies,4,ALL_IDENTICAL,UNIVERSAL
1.2.7.2,CI LS RT,Identify core competency for each business unit,Identify core competency for each business unit,Identify core competency for each business unit,4,ALL_IDENTICAL,UNIVERSAL
1.2.7.3,CI LS RT,Refine business unit strategies in support of organizational strategy,Refine business unit strategies in support of company strategy,Refine business unit strategies in support of company strategy,4,DIFFERENT,UNIVERSAL
1.2.8,CI LS RT,Develop customer experience strategy,Develop customer experience strategy,Develop customer experience strategy,3,ALL_IDENTICAL,UNIVERSAL
1.2.8.1,CI LS RT,Assess customer experience,Assess customer experience,Assess customer experience,4,ALL_IDENTICAL,UNIVERSAL
1.2.8.1.1,CI LS RT,Identify and review customer touchpoints,Identify and review customer touchpoints,Identify and review customer touchpoints,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.1.2,CI LS RT,Assess customer experience across touchpoints,Assess customer experience across touchpoints,Assess customer experience across touchpoints,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.1.3,CI LS RT,Perform root cause analysis of problematic customer experiences,Perform root cause analysis of problematic customer experiences,Perform root cause analysis of problematic customer experiences,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.2,CI LS RT,Design customer experience,Design customer experience,Design customer experience,4,ALL_IDENTICAL,UNIVERSAL
1.2.8.2.1,CI LS RT,Define and manage personas,Define and manage personas,Define and manage customer personas,5,DIFFERENT,UNIVERSAL
1.2.8.2.2,CI LS RT,Create customer journey maps,Create customer journey maps,Create customer journey maps,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.2.3,CI LS RT,Define single view of the customer for the organization,Define single view of the customer for the organization,Define single view of the customer for the organization,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.2.4,CI LS RT,Define a vision for the customer experience,Define a vision for the customer experience,Define a vision for the customer experience,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.2.5,CI LS RT,Validate with customers,Validate with customers,Validate with customers,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.2.6,CI LS RT,Align experience with brand values and business strategies,Align experience with brand values and business strategies,Align experience with brand values and business strategies,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.2.7,CI LS RT,Develop content strategy,Develop content strategy,Develop content strategy,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.3,CI LS RT,Design customer experience support structure,Design customer experience support structure,Design customer experience support structure,4,ALL_IDENTICAL,UNIVERSAL
1.2.8.3.1,CI LS RT,Identify required capabilities,Identify required capabilities,Identify required capabilities,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.3.2,CI LS RT,Identify impact on functional processes,Identify impact on functional processes,Identify impact on functional processes,5,ALL_IDENTICAL,UNIVERSAL
1.2.8.4,CI LS RT,Develop customer experience roadmap to develop and implement defined capabilities,Develop customer experience roadmap to develop and implement defined capabilities,Develop customer experience roadmap to develop and implement defined capabilities,4,ALL_IDENTICAL,UNIVERSAL
1.2.9,CI LS RT,Communicate strategies internally and externally,Communicate strategies internally and externally,Communicate strategies internally and externally,3,ALL_IDENTICAL,UNIVERSAL
1.3,CI LS RT,Develop and measure strategic initiatives,Execute and measure strategic initiatives,Execute and measure strategic initiatives,2,DIFFERENT,UNIVERSAL
1.3.1,CI LS RT,Develop strategic initiatives,Develop Over The Counter (OTC)/generic business,Develop strategic initiatives,3,DIFFERENT,UNIVERSAL
1.3.1.1,CI RT,Identify strategic priorities,,Identify strategic priorities,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.1.2,CI RT,Develop strategic initiatives based on business/customer value,,Develop strategic initiatives based on business/customer value,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.1.3,CI RT,Review with stakeholders,,Review with stakeholders,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.10,LS,,Perform acquisitions,,3,,LS_SPECIFIC
1.3.11,LS,,Develop strategic initiatives,,3,,LS_SPECIFIC
1.3.11.1,LS,,Identify strategic priorities,,4,,LS_SPECIFIC
1.3.11.2,LS,,Develop strategic initiatives based on business/customer value,,4,,LS_SPECIFIC
1.3.11.3,LS,,Review with stakeholders,,4,,LS_SPECIFIC
1.3.12,LS,,Evaluate strategic initiatives,,3,,LS_SPECIFIC
1.3.12.1,LS,,Determine business value for each strategic priority,,4,,LS_SPECIFIC
1.3.12.2,LS,,Determine the customer value for each strategic priority,,4,,LS_SPECIFIC
1.3.13,LS,,Select strategic initiatives,,3,,LS_SPECIFIC
1.3.13.1,LS,,Prioritize strategic initiatives,,4,,LS_SPECIFIC
1.3.13.2,LS,,Communicate strategic initiatives to business units and stakeholders,,4,,LS_SPECIFIC
1.3.14,LS,,Establish high-level measures,,3,,LS_SPECIFIC
1.3.14.1,LS,,Identify business value drivers,,4,,LS_SPECIFIC
1.3.14.2,LS,,Establish baselines for business value drivers,,4,,LS_SPECIFIC
1.3.14.3,LS,,Monitor performance against baselines,,4,,LS_SPECIFIC
1.3.15,LS,,Execute strategic initiatives,,3,,LS_SPECIFIC
1.3.2,CI LS RT,Evaluate strategic initiatives,Develop healthcare services business,Evaluate strategic initiatives,3,DIFFERENT,UNIVERSAL
1.3.2.1,CI RT,Determine business value for each strategic priority,,Determine business value for each strategic priority,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.2.2,CI RT,Determine the customer value for each strategic priority,,Determine the customer value for each strategic priority,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.3,CI LS RT,Select strategic initiatives,Develop integrated technology/medical services business,Select strategic initiatives,3,DIFFERENT,UNIVERSAL
1.3.3.1,CI RT,Prioritize strategic initiatives,,Prioritize strategic initiatives,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.3.2,CI RT,Communicate strategic initiatives to business units and stakeholders,,Communicate strategic initiatives to business units and stakeholders,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.4,CI LS RT,Establish high-level measures,Network for new business,Establish high-level measures,3,DIFFERENT,UNIVERSAL
1.3.4.1,CI RT,Identify business value drivers,,Identify business value drivers,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.4.2,CI RT,Establish baselines for business value drivers,,Establish baselines for business value drivers,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.4.3,CI RT,Monitor performance against baselines,,Monitor performance against baselines,4,CI_RT_MATCH,CI_RETAIL_ONLY
1.3.5,CI LS RT,Execute strategic initiatives,Obtain new business financing,Execute strategic initiatives,3,DIFFERENT,UNIVERSAL
1.3.6,CI LS,Review execution of strategic initiatives,Structure contracts /milestones /accounting/tax,,3,DIFFERENT,CI_LS_ONLY
1.3.7,CI LS,Refine strategic initiatives and project plans as needed,Arrange licensing (in/out),,3,DIFFERENT,CI_LS_ONLY
1.3.8,LS,,Develop capitation programs,,3,,LS_SPECIFIC
1.3.9,LS,,Develop joint ventures,,3,,LS_SPECIFIC
1.4,CI LS RT,Develop and maintain business models,Develop and maintain business models,Develop and maintain business models,2,ALL_IDENTICAL,UNIVERSAL
1.4.1,CI LS RT,Develop business models,Develop business models,Develop business models,3,ALL_IDENTICAL,UNIVERSAL
1.4.1.1,CI LS RT,Assemble business model information,Assemble business model information,Assemble business model information,4,ALL_IDENTICAL,UNIVERSAL
1.4.1.2,CI LS RT,Secure appropriate approvals,Secure appropriate approvals,Secure appropriate approvals,4,ALL_IDENTICAL,UNIVERSAL
1.4.1.3,CI LS RT,Identify integration points with existing models,Identify integration points with existing models,Identify integration points with existing models,4,ALL_IDENTICAL,UNIVERSAL
1.4.1.4,CI LS RT,Adopt the business model,Adopt the business model,Adopt the business model,4,ALL_IDENTICAL,UNIVERSAL
1.4.2,CI LS RT,Maintain business models,Maintain business models,Maintain business models,3,ALL_IDENTICAL,UNIVERSAL
1.4.2.1,CI LS RT,Establish business model maintenance parameters,Establish business model maintenance parameters,Establish business model maintenance parameters,4,ALL_IDENTICAL,UNIVERSAL
1.4.2.2,CI LS RT,Accept business model feedback parameters,Accept business model feedback parameters,Accept business model feedback parameters,4,ALL_IDENTICAL,UNIVERSAL
1.4.2.3,CI LS RT,Prioritize and manage incoming feedback,Prioritize and manage incoming feedback,Prioritize and manage incoming feedback,4,ALL_IDENTICAL,UNIVERSAL
1.4.2.4,CI LS RT,Update existing models,Update existing models,Update existing models,4,ALL_IDENTICAL,UNIVERSAL
1.4.3,CI LS RT,Establish business model governance,Establish business model governance,Establish business model governance,3,ALL_IDENTICAL,UNIVERSAL
10.0,CI LS RT,"Acquire, Construct, and Manage Assets","Acquire, Construct, and Manage Assets","Acquire, Construct, and Manage Assets",1,ALL_IDENTICAL,UNIVERSAL
10.1,CI LS RT,Plan and acquire assets,Plan and acquire assets,Plan and acquire assets,2,ALL_IDENTICAL,UNIVERSAL
10.1.1,CI LS RT,Develop property strategy and long term vision,Develop property strategy and long term vision,Develop property strategy and long term vision,3,ALL_IDENTICAL,UNIVERSAL
10.1.1.1,CI LS RT,Confirm alignment of property requirements with business strategy,Confirm alignment of property requirements with business strategy,Confirm alignment of property requirements with business strategy,4,ALL_IDENTICAL,UNIVERSAL
10.1.1.2,CI LS RT,Appraise the external environment,Appraise the external environment,Appraise the external environment,4,ALL_IDENTICAL,UNIVERSAL
10.1.1.3,CI LS RT,"Determine build, buy, or lease decision",Determine build or buy decision,Determine build or buy decision,4,DIFFERENT,UNIVERSAL
10.1.2,CI LS RT,Plan facility,Plan facility,Plan facility,3,ALL_IDENTICAL,UNIVERSAL
10.1.2.1,CI LS RT,Design facility,Design facility,Design facility,4,ALL_IDENTICAL,UNIVERSAL
10.1.2.2,CI LS RT,Analyze budget,Analyze budget,Analyze budget,4,ALL_IDENTICAL,UNIVERSAL
10.1.2.3,CI LS RT,Select property,Select property,Select property,4,ALL_IDENTICAL,UNIVERSAL
10.1.2.4,CI LS RT,Negotiate terms for facility,Negotiate terms for facility,Negotiate terms for facility,4,ALL_IDENTICAL,UNIVERSAL
10.1.2.5,CI LS RT,Manage construction or modification to building,Manage construction or modification to building,Manage construction or modification to building,4,ALL_IDENTICAL,UNIVERSAL
10.1.3,CI LS RT,Provide workspace and facilities,Provide workspace and facilities,Provide workspace and facilities,3,ALL_IDENTICAL,UNIVERSAL
10.1.3.1,CI LS RT,Acquire workspace and facilities,Acquire workspace and facilities,Acquire workspace and facilities,4,ALL_IDENTICAL,UNIVERSAL
10.1.3.2,CI LS RT,Change fit/form/function of workspace and facilities,Change fit/form/function of workspace and facilities,Change fit/form/function of workspace and facilities,4,ALL_IDENTICAL,UNIVERSAL
10.1.4,CI LS RT,Manage facilities operations,Manage facilities operations,Manage facilities operations,3,ALL_IDENTICAL,UNIVERSAL
10.1.4.1,CI LS RT,Relocate people,Relocate people,Relocate people,4,ALL_IDENTICAL,UNIVERSAL
10.1.4.2,CI LS RT,Relocate material and tools,Relocate material and tools,Relocate material and tools,4,ALL_IDENTICAL,UNIVERSAL
10.2,CI LS RT,Design and construct assets,Design and construct productive assets,Design and construct productive assets,2,DIFFERENT,UNIVERSAL
10.2.1,CI LS RT,Manage capital program for assets,Manage capital program for productive assets,Manage capital program for productive assets,3,DIFFERENT,UNIVERSAL
10.2.1.1,CI LS RT,Define capital investment plan,Define capital investment plan,Define capital investment plan,4,ALL_IDENTICAL,UNIVERSAL
10.2.1.2,CI LS RT,Monitor capital program,Monitor capital program,Monitor capital program,4,ALL_IDENTICAL,UNIVERSAL
10.2.1.3,CI LS RT,Secure construction financing,Secure construction financing,Secure construction financing,4,ALL_IDENTICAL,UNIVERSAL
10.2.2,CI LS RT,Design and plan asset construction,Design and plan asset construction,Design and plan asset construction,3,ALL_IDENTICAL,UNIVERSAL
10.2.2.1,CI LS RT,Develop construction strategy,Develop construction strategy,Develop construction strategy,4,ALL_IDENTICAL,UNIVERSAL
10.2.2.2,CI LS RT,Perform construction performance management,Perform construction performance management,Perform construction performance management,4,ALL_IDENTICAL,UNIVERSAL
10.2.2.3,CI LS RT,Obtain construction permissions,Obtain construction permissions,Obtain construction permissions,4,ALL_IDENTICAL,UNIVERSAL
10.2.2.4,CI LS RT,Design assets,Design assets,Design assets,4,ALL_IDENTICAL,UNIVERSAL
10.2.2.5,CI LS RT,Plan construction resources,Plan construction resources,Plan construction resources,4,ALL_IDENTICAL,UNIVERSAL
10.2.3,CI LS RT,Schedule and perform construction work,Schedule and perform construction work,Schedule and perform construction work,3,ALL_IDENTICAL,UNIVERSAL
10.2.3.1,CI LS RT,Schedule construction work,Schedule construction work,Schedule construction work,4,ALL_IDENTICAL,UNIVERSAL
10.2.3.2,CI LS RT,Obtain resources,Obtain resources,Obtain resources,4,ALL_IDENTICAL,UNIVERSAL
10.2.3.3,CI LS RT,Construct new assets,Construct new assets,Construct new assets,4,ALL_IDENTICAL,UNIVERSAL
10.2.3.4,CI LS RT,Augment existing assets,Augment existing assets,Augment existing assets,4,ALL_IDENTICAL,UNIVERSAL
10.2.3.5,CI LS RT,Renew/Replace assets,Renew/Replace assets,Renew/Replace assets,4,ALL_IDENTICAL,UNIVERSAL
10.2.4,CI LS RT,Manage asset construction,Manage asset construction,Manage asset construction,3,ALL_IDENTICAL,UNIVERSAL
10.2.4.1,CI LS RT,Monitor work performance,Monitor work performance,Monitor work performance,4,ALL_IDENTICAL,UNIVERSAL
10.2.4.2,CI LS RT,Undertake construction quality control,Undertake construction quality control,Undertake construction quality control,4,ALL_IDENTICAL,UNIVERSAL
10.2.4.3,CI LS RT,Create work and asset records,Create work and asset records,Create work and asset records,4,ALL_IDENTICAL,UNIVERSAL
10.2.4.4,CI LS RT,"Manage safety, security, and access to sites","Manage safety, security, and access to sites","Manage safety, security, and access to sites",4,ALL_IDENTICAL,UNIVERSAL
10.3,CI LS RT,Maintain assets,Maintain productive assets,Maintain productive assets,2,DIFFERENT,UNIVERSAL
10.3.1,CI LS RT,Plan asset maintenance,Plan asset maintenance,Plan asset maintenance,3,ALL_IDENTICAL,UNIVERSAL
10.3.1.1,CI LS RT,Develop maintenance strategies,Develop maintenance strategies,Develop maintenance strategies,4,ALL_IDENTICAL,UNIVERSAL
10.3.1.2,CI LS RT,Analyze assets and predict maintenance requirements,Analyze assets and predict maintenance requirements,Analyze assets and predict maintenance requirements,4,ALL_IDENTICAL,UNIVERSAL
10.3.1.3,CI LS RT,Specify maintenance policies,Specify maintenance policies,Specify maintenance policies,4,ALL_IDENTICAL,UNIVERSAL
10.3.1.4,CI LS RT,Integrate preventive maintenance into operations schedule,Integrate preventive maintenance into operations schedule,Integrate preventive maintenance into operations schedule,4,ALL_IDENTICAL,UNIVERSAL
10.3.1.5,CI LS RT,Identify work management tasks & priorities,Identify work management tasks & priorities,Identify work management tasks & priorities,4,ALL_IDENTICAL,UNIVERSAL
10.3.1.6,CI LS RT,Conduct resource planning,Conduct resource planning,Conduct resource planning,4,ALL_IDENTICAL,UNIVERSAL
10.3.1.7,CI LS RT,Create work plans,Create work plans,Create work plans,4,ALL_IDENTICAL,UNIVERSAL
10.3.2,CI LS RT,Manage asset maintenance,Manage asset maintenance,Manage asset maintenance,3,ALL_IDENTICAL,UNIVERSAL
10.3.2.1,CI LS RT,Schedule maintenance work,Schedule maintenance work,Schedule maintenance work,4,ALL_IDENTICAL,UNIVERSAL
10.3.2.2,CI LS RT,Obtain required resources,Obtain required resources,Obtain required resources,4,ALL_IDENTICAL,UNIVERSAL
10.3.2.3,CI LS RT,Undertake quality control,Undertake quality control,Undertake quality control,4,ALL_IDENTICAL,UNIVERSAL
10.3.2.4,CI LS RT,Update work and asset records,Update work and asset records,Update work and asset records,4,ALL_IDENTICAL,UNIVERSAL
10.3.2.5,CI LS RT,Manage maintenance work safety,Manage maintenance work safety,Manage maintenance work safety,4,ALL_IDENTICAL,UNIVERSAL
10.3.2.6,CI LS RT,Define maintenance performance targets,Define maintenance performance targets,Define maintenance performance targets,4,ALL_IDENTICAL,UNIVERSAL
